AR;alder;Kon;prev_cvd;prev_ccr;totpop
2013;66;2;6398;2813;61549
2013;67;1;12753;4035;60606
2013;67;2;6864;3010;61711
2013;68;1;13272;4279;59585
2013;68;2;7402;3045;60480
2013;69;1;13737;4600;57915
2013;69;2;7857;3165;58788
2013;70;1;13417;4263;52985
2013;70;2;8017;3059;54812
2013;71;1;12817;4019;48170
2013;71;2;7860;2850;49432
2013;72;1;11756;3570;41402
2013;72;2;7523;2588;43579
2013;73;1;11708;3444;38643
2013;73;2;7755;2495;41100
2013;74;1;12010;3486;37556
2013;74;2;8178;2495;40893
2013;75;1;11787;3275;34672
2013;75;2;8439;2373;39013
2013;76;1;11355;3224;31919
2013;76;2;8518;2261;36427
2013;77;1;11156;3105;29683
2013;77;2;8506;2156;34912
2013;78;1;10712;2864;27339
2013;78;2;8650;1995;32347
2013;79;1;10074;2482;24636
2013;79;2;8671;1925;31135
2013;80;1;9780;2518;23042
2013;80;2;8870;1806;29646
2013;81;1;9963;2336;22293
2013;81;2;9403;1849;29631
2013;82;1;9311;2220;20421
2013;82;2;9519;1793;28501
2013;83;1;9199;2092;19201
2013;83;2;9845;1808;27798
2013;84;1;8135;1847;16718
2013;84;2;9237;1677;25306
2013;85;1;7700;1694;15599
2013;85;2;9459;1623;24509
2013;86;1;6805;1357;13209
2013;86;2;8768;1456;22091
2013;87;1;6163;1390;11867
2013;87;2;8405;1314;20508
2013;88;1;5512;1115;10281
2013;88;2;7969;1153;18792
2013;89;1;4689;931;8543
2013;89;2;7189;1019;16522
2013;90;1;3950;781;7231
2013;90;2;6264;900;14364
2013;91;1;3024;586;5544
2013;91;2;5355;714;12013
2013;92;1;2506;464;4559
2013;92;2;5026;661;10801
2013;93;1;2026;353;3581
2013;93;2;4278;582;9139
2013;94;1;1201;242;2156
2013;94;2;2692;353;5825
2013;95;1;789;142;1460
2013;95;2;1982;268;4251
2013;96;1;527;98;1003
2013;96;2;1447;187;3218
2013;97;1;345;46;632
2013;97;2;1019;129;2210
2013;98;1;199;26;336
2013;98;2;645;85;1461
2013;99;1;142;38;265
2013;99;2;412;60;1037
2013;100;1;125;25;299
2013;100;2;639;65;1580
2014;7;1;24;38;124
2014;7;2;19;37;123
2014;8;1;24;37;127
2014;8;2;19;26;97
2014;9;1;16;32;104
2014;9;2;26;20;111
2014;10;1;24;35;136
2014;10;2;28;23;119
2014;11;1;19;26;148
2014;11;2;22;19;101
2014;12;1;28;22;163
2014;12;2;26;18;109
2014;13;1;22;25;143
2014;13;2;33;32;152
2014;14;1;23;28;160
2014;14;2;20;30;158
2014;15;1;39;44;51073
2014;15;2;37;43;48088
2014;16;1;64;60;52619
2014;16;2;58;52;48509
2014;17;1;75;54;53386
2014;17;2;63;55;49372
2014;18;1;213;59;55995
2014;18;2;176;50;52077
2014;19;1;578;59;60049
2014;19;2;453;47;55720
2014;20;1;633;83;63976
2014;20;2;453;80;60485
2014;21;1;704;112;66486
2014;21;2;525;80;63000
2014;22;1;768;107;69789
2014;22;2;537;105;65929
2014;23;1;740;126;71576
2014;23;2;605;112;67753
2014;24;1;789;130;72638
2014;24;2;602;107;69538
2014;25;1;728;108;69493
2014;25;2;586;126;66724
2014;26;1;700;123;68915
2014;26;2;589;154;65958
2014;27;1;656;144;65701
2014;27;2;578;182;63592
2014;28;1;678;147;65783
2014;28;2;528;190;62769
2014;29;1;658;153;65112
2014;29;2;555;204;61333
2014;30;1;629;144;63164
2014;30;2;587;216;59618
2014;31;1;720;159;61868
2014;31;2;564;220;58575
2014;32;1;704;167;62258
2014;32;2;646;293;59009
2014;33;1;707;175;61433
2014;33;2;656;282;58900
2014;34;1;733;192;63406
2014;34;2;703;342;60725
2014;35;1;780;227;61861
2014;35;2;723;323;59153
2014;36;1;778;239;59790
2014;36;2;744;332;57621
2014;37;1;907;194;60846
2014;37;2;802;390;58335
2014;38;1;954;243;61507
2014;38;2;846;445;59246
2014;39;1;1081;267;63838
2014;39;2;879;485;61737
2014;40;1;1217;320;66469
2014;40;2;1028;567;64406
2014;41;1;1305;309;65405
2014;41;2;1078;573;63543
2014;42;1;1408;304;66343
2014;42;2;1043;694;64658
2014;43;1;1560;347;66367
2014;43;2;1178;748;64550
2014;44;1;1729;353;64575
2014;44;2;1224;758;63101
2014;45;1;1784;347;63652
2014;45;2;1208;818;61849
2014;46;1;2095;433;66242
2014;46;2;1397;949;64623
2014;47;1;2334;436;69825
2014;47;2;1563;1039;67276
2014;48;1;2639;491;70475
2014;48;2;1709;1170;67686
2014;49;1;3017;609;70346
2014;49;2;1817;1332;67844
2014;50;1;3310;649;69680
2014;50;2;2022;1324;67840
2014;51;1;3404;674;65240
2014;51;2;2062;1274;62708
2014;52;1;3529;792;61737
2014;52;2;2116;1278;60080
2014;53;1;3872;904;59601
2014;53;2;2131;1383;58138
2014;54;1;4069;968;58424
2014;54;2;2408;1348;57550
2014;55;1;4501;998;58713
2014;55;2;2502;1396;57410
2014;56;1;4945;1201;58217
2014;56;2;2693;1420;57248
2014;57;1;5421;1351;58302
2014;57;2;2891;1608;58056
2014;58;1;5967;1494;58694
2014;58;2;3063;1575;57556
2014;59;1;6355;1636;56980
2014;59;2;3429;1669;57003
2014;60;1;6724;1923;55650
2014;60;2;3514;1772;55562
2014;61;1;7353;2162;56768
2014;61;2;3852;1982;56625
2014;62;1;7908;2283;55769
2014;62;2;4165;2083;56112
2014;63;1;8425;2487;54600
2014;63;2;4460;2142;55438
2014;64;1;9498;2825;56926
2014;64;2;4971;2378;57331
2014;65;1;10522;3305;58175
2014;65;2;5649;2514;59353
2014;66;1;11510;3567;59483
2014;66;2;6301;2765;61106
2014;67;1;12382;4024;59545
2014;67;2;6858;2962;61035
2014;68;1;13441;4287;59735
2014;68;2;7433;3160;61184
2014;69;1;13942;4607;58732
2014;69;2;7899;3261;59895
2014;70;1;14346;4840;56953
2014;70;2;8451;3297;58182
2014;71;1;14003;4382;52011
2014;71;2;8537;3228;54160
2014;72;1;13301;4082;47198
2014;72;2;8329;2985;48827
2014;73;1;12305;3642;40566
2014;73;2;8014;2671;42958
2014;74;1;12156;3503;37704
2014;74;2;8086;2640;40427
2014;75;1;12275;3482;36481
2014;75;2;8656;2588;40157
2014;76;1;11998;3303;33562
2014;76;2;8853;2408;38260
2014;77;1;11555;3189;30745
2014;77;2;8861;2253;35585
2014;78;1;11301;2985;28489
2014;78;2;8887;2177;34016
2014;79;1;10712;2774;26155
2014;79;2;8976;1975;31419
2014;80;1;10001;2365;23434
2014;80;2;8949;1933;30132
2014;81;1;9636;2367;21727
2014;81;2;8993;1805;28566
2014;82;1;9726;2218;20850
2014;82;2;9427;1840;28313
2014;83;1;8991;2073;18935
2014;83;2;9500;1723;27093
2014;84;1;8684;1967;17579
2014;84;2;9616;1711;26154
2014;85;1;7597;1757;15165
2014;85;2;9057;1599;23626
2014;86;1;7092;1520;13951
2014;86;2;9146;1552;22595
2014;87;1;6169;1233;11660
