AR;alder;Kon;inc_cvd;inc_ccr
2011;41;1;249;66
2011;41;2;216;148
2011;42;1;260;63
2011;42;2;210;185
2011;43;1;311;89
2011;43;2;209;177
2011;44;1;345;92
2011;44;2;241;203
2011;45;1;371;106
2011;45;2;272;218
2011;46;1;425;129
2011;46;2;267;257
2011;47;1;467;138
2011;47;2;316;276
2011;48;1;501;123
2011;48;2;278;278
2011;49;1;478;158
2011;49;2;332;270
2011;50;1;583;187
2011;50;2;344;312
2011;51;1;577;194
2011;51;2;349;328
2011;52;1;636;208
2011;52;2;401;328
2011;53;1;725;236
2011;53;2;440;318
2011;54;1;778;292
2011;54;2;448;356
2011;55;1;890;330
2011;55;2;493;381
2011;56;1;942;354
2011;56;2;484;400
2011;57;1;959;420
2011;57;2;549;420
2011;58;1;1090;481
2011;58;2;574;442
2011;59;1;1142;488
2011;59;2;614;472
2011;60;1;1215;549
2011;60;2;708;503
2011;61;1;1370;657
2011;61;2;756;507
2011;62;1;1428;765
2011;62;2;821;602
2011;63;1;1634;786
2011;63;2;960;633
2011;64;1;1736;935
2011;64;2;1017;719
2011;65;1;2154;1033
2011;65;2;1135;745
2011;66;1;2086;1153
2011;66;2;1243;810
2011;67;1;2138;1225
2011;67;2;1277;864
2011;68;1;2046;1099
2011;68;2;1365;871
2011;69;1;1985;1096
2011;69;2;1324;798
2011;70;1;1853;1015
2011;70;2;1219;717
2011;71;1;1793;973
2011;71;2;1319;721
2011;72;1;1833;1026
2011;72;2;1340;727
2011;73;1;1833;992
2011;73;2;1380;702
2011;74;1;1784;919
2011;74;2;1395;701
2011;75;1;1829;976
2011;75;2;1506;683
2011;76;1;1680;888
2011;76;2;1450;628
2011;77;1;1657;777
2011;77;2;1498;586
2011;78;1;1640;810
2011;78;2;1467;598
2011;79;1;1669;759
2011;79;2;1673;642
2011;80;1;1587;767
2011;80;2;1615;629
2011;81;1;1544;785
2011;81;2;1674;611
2011;82;1;1469;670
2011;82;2;1726;608
2011;83;1;1450;653
2011;83;2;1806;588
2011;84;1;1397;541
2011;84;2;1714;506
2011;85;1;1353;603
2011;85;2;1713;492
2011;86;1;1292;500
2011;86;2;1706;490
2011;87;1;1088;438
2011;87;2;1606;425
2011;88;1;1046;387
2011;88;2;1574;426
2011;89;1;885;307
2011;89;2;1375;341
2011;90;1;769;227
2011;90;2;1416;276
2011;91;1;651;202
2011;91;2;1219;287
2011;92;1;479;137
2011;92;2;877;164
2011;93;1;364;99
2011;93;2;722;135
2011;94;1;261;68
2011;94;2;596;104
2011;95;1;182;37
2011;95;2;446;82
2011;96;1;129;41
2011;96;2;323;60
2011;97;1;84;20
2011;97;2;231;52
2011;98;1;56;11
2011;98;2;179;22
2011;99;1;32;6
2011;99;2;110;11
2011;100;1;36;8
